"","day.of.year","airport.code","avg.delay","lat","lon","city","state","airport"
"14915","179","MIA",48.6,"25.7953","-80.2727","Miami","Florida","Miami International Airport"
"14916","179","MKE",32,"42.9471","-87.9051","Milwaukee","Wisconsin","General Mitchell International Airport"
"14917","179","MLI",17,"41.4539","-90.5058","Coal Valley","Illinois","Quad City Airport"
"14918","179","MSP",29.3333333333333,"44.8793","-93.1987","St. Paul","Minnesota","Minneapolis St Paul International Airport"
"14919","179","MSY",20.5,"29.983","-90.2569","Kenner","Louisiana","New Orleans International Airport"
"14920","179","OKC",48.5,"35.3981","-97.5974","Oklahoma City","Oklahoma","Will Rogers World Airport"
"14921","179","ORD",31.9047619047619,"41.9796","-87.8825","Chicago","Illinois","Chicago O'Hare International Airport"
"14922","179","ORF",82,"36.8977","-76.2154","Norfolk","Virginia","Norfolk International Airport"
"14923","179","PBI",16,"26.6909","-80.0889","West Palm Beach","Florida","Palm Beach International Airport"
"14924","179","PDX",29,"45.5867","-122.587","Portland","Oregon","Portland International Airport"
"14925","179","PFN",21,"30.2071","-85.6829","Panama City","Florida","Panama City Bay County Airport"
"14926","179","PHL",83.7272727272727,"39.8768","-75.2419","Philadelphia","Pennsylvania","Philadelphia International Airport"
"14927","179","PHX",32,"33.4376","-112.03","Phoenix","Arizona","Sky Harbor International Airport"
"14928","179","PIT",18.5,"40.4914","-80.2328","Coraopolis","Pennsylvania","Pittsburgh International Airport"
"14929","179","PVD",54,"41.723","-71.4399","Warwick","Rhode Island","Theodore Francis Green State Airport"
"14930","179","RAP",10,"44.037","-103.06","Rapid City","South Dakota","Rapid City Regional Airport"
"14931","179","RDU",37.6666666666667,"35.8729","-78.7923","Raleigh/Durham","North Carolina","Durham International Airport"
"14932","179","RIC",215,"37.5108","-77.3332","Richmond","Virginia","Richmond International Airport"
"14933","179","RKS",34,"41.5988","-109.072","Rock Springs","Wyoming","Rock Springs-Sweetwater County Airport"
"14934","179","ROA",66,"37.3203","-79.9688","Roanoke","Virginia","Roanoke Regional Airport-Woodrum Field"
"14935","179","ROC",21,"43.1309","-77.6697","Rochester","New York","Greater Rochester International Airport"
"14936","179","RSW",2,"26.5228","-81.7531","Fort Myers","Florida","Southwest Florida International Airport"
"14937","179","SAT",80,"29.5252","-98.4729","San Antonio","Texas","San Antonio International Airport"
"14938","179","SDF",47.6666666666667,"38.1865","-85.7462","Louisville","Kentucky","Louisville International Airport"
"14939","179","SEA",19,"47.4405","-122.296","Seattle","Washington","Tacoma International Airport"
"14940","179","SFO",37.25,"37.6148","-122.392","San Francisco","California","San Francisco International Airport"
"14941","179","SHV",24,"32.4549","-93.8285","Shreveport","Louisiana","Shreveport Regional Airport"
"14942","179","SJC",6,"37.3679","-121.926","San Jose","California","Norman Y Mineta San Jose International Airport"
"14943","179","SLC",19.3333333333333,"40.7862","-111.982","Salt Lake City","Utah","Salt Lake City International Airport"
"14944","179","SMF",102,"38.683","-121.591","Sacramento","California","Sacramento International Airport"
"14945","179","SRQ",44,"27.3868","-82.5516","Sarasota","Florida","Sarasota Bradenton Airport"
"14946","179","STL",9.33333333333333,"38.7414","-90.3647","St. Louis","Missouri","Lambert St Louis International Airport"
"14947","179","SWF",14,"41.4869","-74.0974","New Windsor","New York","Stewart International Airport"
"14948","179","TPA",45.8571428571429,"27.9744","-82.5356","Tampa","Florida","Tampa International Airport"
"14949","179","TUL",30.3333333333333,"36.1877","-95.8892","Tulsa","Oklahoma","Tulsa International Airport"
"14950","179","TUS",7,"32.1204","-110.936","Tucson","Arizona","Tucson International Airport"
"14951","180","ABI",10,"32.4164","-99.6803","Abilene","Texas","Abilene Regional Airport"
"14952","180","ABQ",65.5,"35.0494","-106.625","Albuquerque","New Mexico","Albuquerque International Airport"
"14953","180","ALB",34,"42.7426","-73.809","Latham","New York","Albany International Airport"
"14954","180","AMA",42.6666666666667,"35.2177","-101.706","Amarillo","Texas","Amarillo International Airport"
"14955","180","ANC",22.3333333333333,"61.1767","-149.961","Anchorage","Alaska","Anchorage International Airport"
"14956","180","ATL",49.8421052631579,"33.6558","-84.4333","Atlanta","Georgia","Hartsfield-Jackson Atlanta International Airport"
"14957","180","ATW",39,"44.2603","-88.5111","Appleton","Wisconsin","Outagamie County Airport"
"14958","180","AUS",73,"30.2027","-97.6653","Austin","Texas","Austin-Bergstrom International Airport"
"14959","180","AVL",27,"35.4349","-82.5373","Fletcher","North Carolina","Asheville Regional Airport"
"14960","180","AZO",8,"42.2398","-85.5563","Kalamazoo","Michigan","Kalamazoo-Battle Creek International Airport"
"14961","180","BDL",24.6,"41.9271","-72.6816","Windsor Locks","Connecticut","Bradley International Airport"
"14962","180","BGR",60,"44.8086","-68.8167","Bangor","Maine","Bangor International Airport"
"14963","180","BHM",39,"33.5604","-86.7492","Birmingham","Alabama","Birmingham International Airport"
"14964","180","BIL",20,"45.8034","-108.537","Billings","Montana","Logan International Airport"
"14965","180","BMI",5,"40.4841","-88.9134","Bloomington","Illinois","Bloomington Normal Airport"
"14966","180","BNA",37.8333333333333,"36.1342","-86.6682","Nashville","Tennessee","Nashville International Airport"
"14967","180","BOS",46,"42.3717","-71.0281","Boston","Massachusetts","Gen E L Logan International Airport"
"14968","180","BTR",4,"30.533","-91.1567","Baton Rouge","Louisiana","Baton Rouge Metropolitan Airport"
"14969","180","BTV",47,"44.4688","-73.1552","South Burlington","Vermont","Burlington International Airport"
"14970","180","BUF",11,"42.9309","-78.738","Buffalo","New York","Greater Buffalo International Airport"
"14971","180","BUR",30,"34.1963","-118.352","Burbank","California","Burbank Glendale Pasadena Airport"
"14972","180","BWI",43.3636363636364,"39.1841","-76.6745","Baltimore","Maryland","Baltimore-Washington International Thurgood Mars"
"14973","180","CAE",60.3333333333333,"33.9468","-81.1241","West Columbia","South Carolina","Columbia Metropolitan Airport"
"14974","180","CID",18,"41.8893","-91.7008","Cedar Rapids","Iowa","Cedar Rapids Municipal Airport"
"14975","180","CLE",29.25,"41.4115","-81.8339","Cleveland","Ohio","Hopkins International Airport"
"14976","180","CLT",16.3333333333333,"35.2226","-80.946","Charlotte","North Carolina","Douglas International Airport"
"14977","180","CMH",20.5,"39.9974","-82.8877","Columbus","Ohio","Port Columbus International Airport"
"14978","180","CMI",148,"40.0367","-88.2638","Savoy","Illinois","University of Illinois-Willard Airport"
"14979","180","COS",17,"38.7829","-104.697","Colorado Springs","Colorado","City of Colorado Springs Municipal Airport"
"14980","180","CRP",20,"27.7747","-97.5019","Corpus Christi","Texas","Corpus Christi International Airport"
